scenario,n_burn_in,n_post_burn_in,seed,samples_per_chain,sigma_post_mean,sigma_psrf,beta_psrf_min,beta_psrf_max,beta_psrf_median,beta_n_undefined,gamma_psrf_min,gamma_psrf_max,gamma_psrf_median,gamma_n_undefined
2,1000,2500,56,2500,0.4551900898354462,1.001157112597961,0.9998161792110134,1.0050768782642405,1.0000135102260637,0,0.9998673394670035,1.0088232401500619,1.0004432256546212,0
2,1000,2500,32,2500,0.4549363796276311,1.001157112597961,0.9998161792110134,1.0050768782642405,1.0000135102260637,0,0.9998673394670035,1.0088232401500619,1.0004432256546212,0
2,1000,2500,22,2500,0.45574927240073737,1.001157112597961,0.9998161792110134,1.0050768782642405,1.0000135102260637,0,0.9998673394670035,1.0088232401500619,1.0004432256546212,0
2,500,2500,81,2500,0.45683440876638315,1.001056553817802,0.9998265552842379,1.0047338047827052,1.0000256502506657,0,0.9998477794714483,1.0078553818591576,1.0004314243175132,0
2,500,2500,100,2500,0.45556303463111897,1.001056553817802,0.9998265552842379,1.0047338047827052,1.0000256502506657,0,0.9998477794714483,1.0078553818591576,1.0004314243175132,0
2,500,2500,43,2500,0.4562740869318357,1.001056553817802,0.9998265552842379,1.0047338047827052,1.0000256502506657,0,0.9998477794714483,1.0078553818591576,1.0004314243175132,0
2,500,2500,34,2500,0.45641628862405725,1.001056553817802,0.9998265552842379,1.0047338047827052,1.0000256502506657,0,0.9998477794714483,1.0078553818591576,1.0004314243175132,0
2,500,2500,11,2500,0.4546621016275331,1.001056553817802,0.9998265552842379,1.0047338047827052,1.0000256502506657,0,0.9998477794714483,1.0078553818591576,1.0004314243175132,0
2,500,2500,23,2500,0.4545868114171585,1.001056553817802,0.9998265552842379,1.0047338047827052,1.0000256502506657,0,0.9998477794714483,1.0078553818591576,1.0004314243175132,0
2,500,2500,205,2500,0.4532812866824852,1.001056553817802,0.9998265552842379,1.0047338047827052,1.0000256502506657,0,0.9998477794714483,1.0078553818591576,1.0004314243175132,0
2,500,2500,56,2500,0.45530678152235293,1.001056553817802,0.9998265552842379,1.0047338047827052,1.0000256502506657,0,0.9998477794714483,1.0078553818591576,1.0004314243175132,0
2,500,2500,32,2500,0.4561821559578831,1.001056553817802,0.9998265552842379,1.0047338047827052,1.0000256502506657,0,0.9998477794714483,1.0078553818591576,1.0004314243175132,0
2,500,2500,22,2500,0.45472882096647793,1.001056553817802,0.9998265552842379,1.0047338047827052,1.0000256502506657,0,0.9998477794714483,1.0078553818591576,1.0004314243175132,0
